Código,Nome,Histórico,Foto,Autor,Inauguração,Localização,Latitude,Longitude
76,"Pontes de rocailles (conjunto de 2 pontes)","Trata-se de duas pontes de rocailles (argamassa decorada) imitando grande troncos de árvores.","http://riomonumentos.com/cadastro/uploads/pontes-de-rocailles-(-conjunto-de-2-pontes).JPG","Glaziou ","1888","Campo de Santana, Rio de Janeiro - RJ","",""
77,"Quiosques (Guaritas - conjunto de 4 quiosques)","Trata-se de quatro quiosques de madeira, um dos poucos exemplares dos antigos quiosques que existiram nas ruas da Cidade, implantados pelo prefeito Pereira Passos para venda de pequenas mercadorias.","http://riomonumentos.com/cadastro/uploads/quiosques-(guaritas--conjunto-de-4-quiosques).jpg","desconhecido","1888","Campo de Santana, Rio de Janeiro - RJ","",""
78,"Jovem Europa (conjunto de 4 fontes)","Trata-se de um busto representando uma jovem figura feminina, em ferro fundido das Fundições de Val d´Osne, fixado em uma fonte stela também em ferro, de onde, através de uma bica, jorra água. São atualmente quatro peças no centro do parque.","http://riomonumentos.com/cadastro/uploads/jovem-europa-(-conjunto-de-4-fontes).jpg","Mathurin Moreau","1888 ","Campo de Santana, Rio de Janeiro - RJ","",""
79,"Vicente Celestino ","Trata-se de representação da cabeça de fisionomia de Vicente Celestino, um agradecimento ao povo carioca.","http://riomonumentos.com/cadastro/uploads/vicente-celestino .JPG","Tito Bernucci ","4 de agosto de 1970","Campo de Santana, Rio de Janeiro - RJ","",""
80,"Catulo da Paixão Cearense","Trata-se de representação da cabeça de fisionomia de Sinhô, um agradecimento ao povo carioca.","http://riomonumentos.com/cadastro/uploads/catulo-da-paixao-cearense.JPG","Tito Bernucci","4 de agosto de 1970","Campo de Santana, Rio de Janeiro - RJ","",""
81,"Sereia","É uma escultura de ferro fundido das Fundições do Val d´Osne, França. A peça é da figura de uma sereia segurando em uma das mãos um peixe, de onde jorra água.","http://riomonumentos.com/cadastro/uploads/sereia.JPG","Provin Serres","provavelmente inaugurada junto com o parque em 1888 ","Campo de Santana, Rio de Janeiro - RJ","",""
82,"Benjamim Constant ","O monumento apresenta diversos fatos históricos ligados à pátria e humanidade. No alto, a figura da Humanidade, no centro, a figura de Benjamim Constant e a esposa trazendo a bandeira republicana. O Monumento foi oferecido à cidade pelo Sr. Amaro da Silveira.","http://riomonumentos.com/cadastro/uploads/benjamim-constant .jpg","Décio Vilares e Eduardo de Sá","14 julho de 1926","Campo de Santana, Rio de Janeiro - RJ","",""
83,"Barão de Mauá – Praça Mauá","A iniciativa da construção de um monumento a Mauá teve origem no Clube de Engenharia. A estátua do homenageado está apoiada numa coluna dórica de 8,30m de altura, talhada em granito irajá. A estátua apresenta mão ao alto, tendo na mão o chapéu alto e a bengala.","http://riomonumentos.com/cadastro/uploads/18071301131-visconde_de_maua01.jpg","Rodolfo Bernadelli","30 de abril de 1910","Rua Candelária, Rio de Janeiro - RJ","-22.901656","-43.176952"
84,"Pedro Max","A homenagem foi o reconhecimento pelo seu destaque como diretor da Escola Naval, como chefe do Estado Maior da Armada e Ministro e por sua participação em operações de guerra na Europa.","http://riomonumentos.com/cadastro/uploads/pedro-max.JPG","Leão Veloso","Praia do Flamengo em 1954 e na Praça Mauá em 11 de novembro de 1998","Praça Mauá, Rio de Janeiro - RJ","-22.896526","-43.180698"
85,"Pedro I ","Primeiro monumento construído no Brasil, foi idealizado no ano em que se comemorava os 50 anos da 1º Constituição Brasileira. Trata-se de um monumento de gratidão do povo brasileiro ao Imperador D. Pedro I.","http://riomonumentos.com/cadastro/uploads/pedro-i.jpg","Louis Rochet a partir do desenho de João Maximiniano Mafra","30 de março de 1862","Praça Tiradentes, Rio de Janeiro - RJ","-22.906929","-43.182807"
86,"Justiça","A obra neoclássica personifica os ideais valorizados pela filosofia positivista de Auguste Comte. Foram idealizadas e fundidas na França, nas Fundições do Val d´Osne, e trazidas para o Brasil para adornar a Praça, num conjunto com o Monumento a D. Pedro I.","http://riomonumentos.com/cadastro/uploads/justica.JPG","Mathurin Moreau","1863","Praça Tiradentes, Rio de Janeiro - RJ","-22.907150","-43.183248"
87,"Lealdade ","A obra neoclássica personifica os ideais valorizados pela filosofia positivista de Auguste Comte. Foram idealizadas e fundidas na França, nas Fundições do Val d´Osne, e trazidas para o Brasil para adornar a Praça, num conjunto com o monumento a D. Pedro I.","http://riomonumentos.com/cadastro/uploads/lealdade.JPG","Mathurin Moreau","1863","Praça Tiradentes, Rio de Janeiro - RJ","-22.906895","-43.182302"
88,"União","A obra neoclássica personifica os ideais valorizados pela filosofia positivista de Auguste Comte. Foram idealizadas e fundidas na França, nas Fundições do Val d´Osne, e trazidas para o Brasil para adornar a Praça, num conjunto com o monumento a D. Pedro I.","http://riomonumentos.com/cadastro/uploads/uniao.jpg","Mathurin Moreau ","1863","Praça Tiradentes, Rio de Janeiro - RJ","-22.906768","-43.182408"
89,"Liberdade","A obra neoclássica personifica os ideais valorizados pela filosofia positivista de Auguste Comte. Foram idealizadas e fundidas na França, nas Fundições do V'Dosne, e trazidas para o Brasil para adornar a Praça, num conjunto com o monumento a D. Pedro I.","http://riomonumentos.com/cadastro/uploads/liberdade.jpg","Mathurin Moreau ","1863","Praça Tiradentes , Rio de Janeiro - RJ","-22.906963","-43.183305"
90,"Pixinguinha","A peça foi baseada na foto de um ensaio realizado por Pixinguinha, em Nova York, em 1963. Anos depois, Alfredo Viana Neto, filho de Pixinguinha, ficou impressionado com a réplica de seu pai e, quando surgiu a oportunidade de homenagear o compositor, sugeriu a obra de Dumovich.","http://riomonumentos.com/cadastro/uploads/pixinguinha.JPG","Otto Dumovich","23 de abril de 1995","Travessa do Ouvidor, Rio de Janeiro - RJ","-22.903590","-43.177611"
91,"Girardet","Augusto Giorgio Girardet, por ter sido o maior gravador do Brasil, e ,seguramente, um dos mais notáveis do continente americano.","http://riomonumentos.com/cadastro/uploads/girardet.jpg","Correia Lima","29 de dezembro de 1945","Praça Mahatma Ghandi, Rio de Janeiro - RJ","-22.912442","-43.175772"
92,"Evaristo da Veiga","A homenagem a Adolfo Bergamini é decorrente a sua importância como advogado.","http://riomonumentos.com/cadastro/uploads/evaristo-da-veiga.JPG","Laurindo Ramos","30 de junho de 1940","Praça Mahatma Ghandi, Rio de Janeiro - RJ", "-22.912273","-43.175724"
93,"Adolfo Bergamini ","Trata-se de um dos Prefeitos homenageados pela cidade, guardando assim a sua importância histórica.","http://www.monumentosdorio.com.br/img/escultura/013/praca/gra/005.gif","Leão Veloso","1946","Praça Mahatma Ghandi, Rio de Janeiro - RJ","-22.912153","-43.175441"
94,"Catulo da Paixão Cearense","Poeta do povo, Catulo foi um dos mais populares de sua época que foi homenageado com o monumento.","http://www.monumentosdorio.com.br/img/escultura/013/praca/gra/013.gif","Honório Peçanha","11 de janeiro de 1940","Praça Mahatma Ghandi, Rio de Janeiro - RJ","-22.912627","-43.175253"
95,"Mahatma Gandhi","Presente da Índia ao Brasil. Mahatma Gandhi é um dos maiores líderes pacifistas do mundo, que foi doado ao Brasil lembrando como símbolo da não violência.","http://riomonumentos.com/cadastro/uploads/mahatma-gandhi.jpg","Sankho Chanduri","14 de agosto de 1969","Praça Mahatma Ghandi, Rio de Janeiro - RJ","-22.912209","-43.176008"
96,"Chafariz Monumental do Jardim do Monroe","Esse é o maior chafariz artístico em ferro fundido do Brasil. Foi adquirido em 1878 pelo Governo Imperial de D. Pedro II. De intensa beleza, não só pelas suas dimensões como pela beleza das figuras e ornatos que o compõem. Foi instalado na Praça XV de Novembro, no Rio de Janeiro, capital do Império. Durante o Governo Carlos Lacerda, em decorrência das obras para a construção da Av. Perimetral (1962) foi transferido para a Praça da Bandeira, ali permanecendo até 1978, quando foi transferido para a sua atual localização.","http://riomonumentos.com/cadastro/uploads/chafariz-monumental-do-jardim-do-monroe.jpg","Mathurin Moreau","1880","Praça Mahatma Ghandi, Rio de Janeiro - RJ","-22.912443","-43.175476"
97,"Chafariz do Mestre Valentim","A pedido do governador Gomes Freire de Andrade, o chafariz foi destinado a melhoria do abastecimento de água para a população. Mestre Valentim foi encarregado pelo Vice-Rei do Brasil, D. Luis de Vasconcelos, do trabalho de remoção do chafariz para beira-mar. Sua função foi abastecer de água os navios que chegavam à cidade, sendo importante para a formação da mesma. Trata-se de belo trabalho de estilo barroco todo executado em gnaisse e mármore de lioz.","http://riomonumentos.com/cadastro/uploads/chafariz-do-mestre-valentim.jpg","Mestre Valentim","1789","Praça XV, Rio de Janeiro - RJ","-22.902693","-43.173873"
98,"João Cândido ","O monumento faz parte da história do negro no Brasil, não apenas porque João Cândido era negro, mas também porque a Revolta das Chibatas foi protagonizada por uma maioria de marinheiros negros. As classes mais baixas da Marinha, por serem compostas de rapazes muito pobres, estavam ainda sujeitas a castigos físicos de açoitamento. O monumento foi doado à cidade pela Secretaria Especial de Igualdade Racial.","http://riomonumentos.com/cadastro/uploads/joao-candido .jpg","Valter Brito","22 de novembro de 2007","Praça XV, Rio de Janeiro - RJ","-22.902029","-43.173084"
99,"Fonte o Amor e a Lira","Inicialmente, foi instalada numa estação de abastecimento da CEDAE (Companhia Estadual de Águas e Esgotos) e transferida para a área pública para adornar a cidade. É uma peça francesa das Fundições do Val D'Osne.","http://riomonumentos.com/cadastro/uploads/fonte-do-amor-a-lira.gif","Eugéne Louis Lequerne","instalado nos anos 50 do século XX","Largo da Carioca, Rio de Janeiro - RJ","-22.906615","-43.177917"
100,"Escultura Módulo 6.5 - Monumento à Integração dos Povos da América","A obra foi doada à cidade pela Associação Comercial do Rio de Janeiro, encomendada para marcar o encerramento do encontro da Câmara Interamericana de arbitragem Comercial e da Associação Íbero-Americana de Câmaras de Comércio do Rio de Janeiro, contudo havia no local a estátua de João Paulo ll. Por isso, foi instalada em frente ao Centro Administrativo de São Sebastião (CASS).","http://riomonumentos.com/cadastro/uploads/escultura-modulo-6.5---monumento-a-integracao-dos-povos-da-america.JPG","Ascannio MMM","14 de maio de 1997","Rua Afonso Cavalcanti, Rio de Janeiro - RJ (em frente ao CASS)","-22.910463","-43.205083"
101,"Chafariz da Dança das Águas","O chafariz, chamado pelo autor de Dança das Águas, é inspirado nas figuras femininas da antiga Grécia. A 'Oceania', que representa as águas do oceano, a “Nereida“, que representa a água dos mares, e “Naiades” as águas das fontes.","http://riomonumentos.com/cadastro/uploads/chafariz-da-danca-das-aguas.jpg","Remo Bernucci","Glória em 1964 e transferido para a frente do CASS em 2002","Rua Afonso Cavalcanti, 455","-22.910892","-43.206447"
102,"Monumento a Edson Luis","O monumento foi doado pela  Secretaria Extraordinária dos Direitos Humanos à cidade do Rio de Janeiro para homenagear o jovem Edson Luis, morto no período da ditatura.","http://www.monumentosdorio.com.br/img/escultura/013/praca/gra/020.gif","Cristina Rozzobon ","28 de março de 2008","Praça Ana Amélia","-22.908994","-43.171588"
103,"Âncora","Trata-se de uma âncora de um navio brasileiro doada pela Marinha do Brasil para adornar o espaço público.","http://riomonumentos.com/cadastro/uploads/ancora.jpg","desconhecido","26 de maio de 2012","Praça Marechal Âncora, Rio de Janeiro - RJ","-22.904270","-43.170959"
104,"Visconde de Inhaúma ","Trata-se de uma doação da Marinha de Guerra do Brasil à cidade do Rio de Janeiro para adornar a área próxima ao I Distrito Naval e homenagear uma personalidade da história do Brasil.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Fundido no Arsenal de Guerra","22 de abril de 2012","Av Alfredo Agache, Rio de Janeiro - RJ","",""
105,"Joaquim Nabuco","O monumento foi uma solicitação do presidente da Academia Brasileira de Letras, Marcos Villaça, à Prefeitura da Cidade, em homenagem ao patrono da Academia nas festividades do centenário de sua morte.","http://riomonumentos.com/cadastro/uploads/joaquim-nabuco.jpg","Otto Dumovich ","17 de março de 2011","Avenida Presidente Wilson","-22.910215","-43.172318"
106,"Manuel Bandeira ","O monumento foi uma solicitação da Academia Brasileira de Letras, através do seu presidente Marcos Vilaça, ao Prefeito da Cidade, em comemoração ao centenário de Manuel Bandeira.","http://riomonumentos.com/cadastro/uploads/180713121244-manoel_bandeira01.jpg","Otto Dumovich ","19 de abril de 2007","Avenida Presidente Wilson","-22.910034","-43.172465"
107,"Ritmo","A escultura foi uma doação da empresa ECISA à cidade para adornar o prédio da Academia Brasileira de Letras.","http://www.monumentosdorio.com.br/img/escultura/013/avenida/gra/026.jpg","Bruno Giorgi","junho de 1985","Avenida Presidente Wilson","-22.909900","-43.172380"
108,"Chafariz da Mulher com Ânfora","Foi uma encomenda da prefeitura em 1934 a Humberto Cozzo para esconder o ar-condicionado do Theatro Municipal. Foi transferida e inaugurada na Praça Pio XI. A escultura chamada pelo artista de Oferenda está no centro do lago, que tem a forma de rosa, com um jato de água saindo da ânfora.","http://riomonumentos.com/cadastro/uploads/chafariz-da-mulher-com-anfora.jpg","Humberto Cozzo","1934 na Praça Floriano Peixoto e em 1988 na Praça Pio X","Praça Pio X, Rio de Janeiro - RJ","-22.900594","-43.177036"
109,"Barão do Rio Branco","Essa escultura é de Charpentier e o monumento idealizado por Leão Veloso. Foi uma  iniciativa do “Jornal do Commércio”, que promoveu uma subscrição pública para sua construção.","http://riomonumentos.com/cadastro/uploads/barao-do-rio-branco.jpg","Felix Charpentier","semelhante a existente no Palácio de Itamarati, inaugurado em 7 de setembro de 1943","Praça do Expedicionário, Rio de Janeiro - RJ","-22.906553","-43.172099"
110,"Escadaria Selarón","Trata-se da decoração, com mosaicos, da escadaria, com 215 degraus e 125m de comprimento, que liga a Lapa ao bairro de Santa Teresa, na cidade do Rio de Janeiro. Usando inicialmente cores da bandeira brasileira, — verde, amarelo e azul —, deu início à colocação dos azulejos por ocasião da Copa do Mundo de Futebol de 1994. Ao longo do tempo, foram fixados azulejos inteiros, ou em cacos, originários de muitos países.","http://riomonumentos.com/cadastro/uploads/180713121210-escadaria_da_lapa01.jpg","Jorge Selarón","iniciada em 1994","Rua Manuel Carneiro, Santa Teresa, Rio de Janeiro - RJ","-22.915229","-43.179081"
111,"Lima Barreto","Este monumento foi um pedido da Casa Lima Barreto à Prefeitura da Cidade para homenagear nas comemorações do nascimento do escritor brasileiro.","http://riomonumentos.com/cadastro/uploads/180713121237-lima_barreto01.jpg","Edgar Duvivier","12 de março de 2012","Rua do Lavradio, Rio de Janeiro - RJ","-22.911013","-43.182429"
112,"Marquês do Lavradio","O monumento foi uma doação à cidade do Rio de Janeiro pelo Quarteirão Cultural da Rua do Lavradio, do busto em bronze do Marquês do Lavradio, - 3° Vice-Rey do Brasil e primeiro morador da Rua do Lavradio em 1777.","http://riomonumentos.com/cadastro/uploads/lima-barreto.jpg","desconhecido","15 de setembro de 2012","Rua do Lavradio, Rio de Janeiro - RJ","",""
113,"Antonio Januzzi","O monumento foi uma doação da ONG Ital Rio para a prefeitura do Rio. Antonio Jannuzzi chegou ao Brasil em 1874 e, com seu estilo eclético, foi responsável pela construção de vários prédios. Sua maior obra foi a construção da Avenida Rio Branco.","http://riomonumentos.com/cadastro/uploads/antonio_jannuzzi001.jpg","desconhecido","2 de junho de 2012","Rua 7 de setembro, Rio de Janeiro - RJ","-22.904848","-43.177544"
114,"Terra ","Escultura abstrata do mais importante artista neoconcretista do Brasil.","http://riomonumentos.com/cadastro/uploads/18071301101-terra01.jpg","Franz Weissmann ","1984","Rua da Assembleia, Rio de Janeiro - RJ","-22.904012","-43.174701"
115,"Coluna Média em Cantoneira ","Escultura abstrata do mais importante artista neoconcretista do Brasil.","http://riomonumentos.com/cadastro/uploads/180713121205-coluna_media_cantoneira01.jpg","Franz Weissmann","1977","Av Marechal Câmara, Rio de Janeiro - RJ","-22.909196","-43.169820"
116,"Cápsula do Tempo (Bandeirantes)","O monumento é um grande bloco quadrado rústico de granito em homenagem ao jubileu de ouro do Movimento Bandeirante no Brasil.","http://riomonumentos.com/cadastro/uploads/180713111155-capsula_tempo01.jpg","desconhecido","1969","Av Presidente Wilson, Rio de Janeiro - RJ","-22.909386","-43.169904"
117,"Duque de Caxias ","O monumento foi erguido, inicialmente na antiga Praça Duque de Caxias, atualmente Largo do Machado. Quando se construiu o prédio do Ministério do Exército, na Av. Presidente Vargas, providenciou-se um concurso público para a construção de um monumento a Duque de Caxias, Patrono do Exército. Contudo, a solução encontrada foi a transferência do monumento existente no Largo do Machado. A estátua foi fundida nas oficinas Thiebot, em Paris.","http://riomonumentos.com/cadastro/uploads/duque-de-caxias .JPG","Rodolfo Bernadelli ","Largo do Machado em 15 de agosto de 1899 e na Av. Presidente Vargas em 30 de agosto de 1949","Praça Duque de Caxias, Rio de Janeiro - RJ","-22.904070","-43.189229"
118,"João Goulart","O busto do ex-presidente João Goulart foi encomendado pelo Clube dos Subtenentes e Sargentos do Exército e moldado em gesso por Alfredo Ceschiatti. Foi fundida no Arsenal de Marinha somente 38 anos depois.","http://riomonumentos.com/cadastro/uploads/presidente-joao-goulard .jpg","Alfredo Ceschiatti","13 de março de 2002","Praça Cristiano Ottoni, Rio de Janeiro - RJ","-22.903949","-43.190845"
119,"Antonio Silveira","Homenagem ao ex-chanceler, embaixador Antonio Azeredo da Silveira, é um marco com uma placa em bronze.","http://riomonumentos.com/cadastro/uploads/marco_a_silveirinha001.jpg","Embaixada do Rio e Janeiro","29 de novembro de 2012","Espaço Rio Branco, Rio de Janeiro - RJ","",""
120,"Vaso de Ferro Fundido","Estes vasos de ferro fundido foram executados e instalados inicialmente na Praça Floriano, nos anos 80 do século XX. Foram retirados pelo projeto Rio Cidade Centro para o novo paisagismo da praça. Um dos vasos foi transferido para o largo para adornar aquele espaço.","http://riomonumentos.com/cadastro/uploads/18071301128-vaso_de_ferro_fundido01.jpg","Emilio Gianelle ","anos 70 do século XX, fundição Luporini","Avenida Presidente Vargas, esquina com Rua Uruguaiana, Rio de Janeiro - RJ","-22.901848","-43.180866"
121,"João Paulo II ","Esse monumento foi uma iniciativa da Prefeitura da Cidade do Rio de Janeiro, na organização do Encontro Mundial das Famílias com o Papa João Paulo II, incluindo no programa a visita do Papa à cidade para marcar indelevelmente a estada do Papa no Rio.","http://riomonumentos.com/cadastro/uploads/180713121232-joao_paulo_i01.jpg","Mario Agostinelli","4 de outubro de 1997","Avenida República do Chile, Rio de Janeiro - RJ","-22.909790","-43.181087"
122,"José Patrocínio ","Trata-se de um marco com uma placa em bronze com a figura do homenageado conduzido com uma figura alegórica.","http://riomonumentos.com/cadastro/uploads/180713121235-jose_do_patrocinio01.jpg","projetado por Rodolfo Amoedo","com escultura de Ruffo Fanucchi, a data de inauguracao é desconhecida","Rua México, Rio de Janeiro - RJ","-22.909249","-43.175284"
123,"Escultura à Cultura","Trata-se de uma escultura composta por dois jovens caminhando.","http://riomonumentos.com/cadastro/uploads/180713121223-escultura_a_cultura01.jpg","Bruno Giorgi","1947","Avenida Graça Aranha, Rio de Janeiro - RJ","-22.909758","-43.173743"
124,"Machado de Assis","A estátua de Machado de Assis, localizada na Av. Presidente Wilson, na frente da Academia Brasileira de Letras, foi erigida por subscrição popular em comemoração ao 90º aniversário do nascimento do ilustre escritor.","http://riomonumentos.com/cadastro/uploads/180713121243-machado_de_assis01.jpg","Humberto Cozzo","21 de junho de 1929","Avenida Presidente Wilson, Rio de Janeiro - RJ","-22.910642","-43.172942"
125,"Marcílio Dias","Este monumento foi doado à cidade do Rio de Janeiro pelo Clube Naval. Em 1983, devido a um acidente, foi colocada na frente do Comando do 1° Distrito Naval em 1988.","http://www.monumentosdorio.com.br/img/escultura/013/praca/gra/035.gif","Luis Paes Leme","11 de junho de 1948 e em 1988 na Praça Barão de Ladario","Praça Barão de Ladario, Rio de Janeiro - RJ","-22.899048","-43.177052"
126,"Conde Cunha ","O monumento é uma homenagem ao fundador do Arsenal do Rio de Janeiro, o Vice Rei do Brasil, Conde Cunha.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Luis Paes Leme","8 de julho de 1949","Praça Barão de Ladario, Rio de Janeiro - RJ","",""
127,"Barão de Ladario","O monumento é a efígie do Barão, um herói da Marinha do Brasil, que teve seu nome como um dos grandes defensores dos limites do Brasil.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Joceil","1989","Praça Barão de Ladario, Rio de Janeiro - RJ","",""
128,"Júlio de Castilhos","O busto de Júlio de Castilhos estava guardado no depósito da prefeitura desde os anos 80 do séc. XX. Por iniciativa da Casa de Deodoro, a prefeitura realizou a cessão do uso do busto, com o intuito de garantir sua integridade bem como sua exposição em espaço público.","http://riomonumentos.com/cadastro/uploads/180713121236-julio_castilhos01.jpg","desconhecido","Casa de Deodoro em 15 de novembro de 2011","Praça da República, 197","",""
129,"Grandjean de Montiny ","Este monumento foi inicialmente instalado na Quinta da Boa Vista e está sob guarda da Casa França-Brasil.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Nicolina Pinto do Couto","1912","Rua Visconde de Itaboraí, 78 - Rio de Janeiro - RJ","",""
130,"Cascata  dos Deuses","Trata-se de um conjunto escultórico composto por duas figuras masculinas, executadas em argamassa que protegem uma cascata.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","desconhecido","desconhecido","Praça dos Expedicionários, Rio de Janeiro - RJ","",""
131,"Ismael Silva","O monumento foi uma solicitação da Escola de Samba Estácio de Sá à Prefeitura do Rio para homenagear o primeiro a fundar o bloco que se tornaria o precursor da primeira escola de samba de que se tem notícia: a Deixa Falar.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Otto Dumovich","14 de setembro de 2010","Largo Ismael Silva, Rio de Janeiro - RJ","",""
132,"Cascata","A cascata é uma construção em que blocos de rocailles imitam pedra para formar um conjunto de gruta e cascata com estalactites e estalagmites.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Glaziou","1880","Campo de Santana, Rio de Janeiro - RJ","",""
133,"Rui Barbosa","O monumento é uma homenagem a um dos principais juristas brasileiros. Rui Barbosa foi também político, diplomata, escritor, filósofo e tradutor.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Deocleciano Martins de Oliveira Filho","1966","Rua Dom Manuel, Rio de Janeiro - RJ","",""
134,"Chafariz do Lagarto","Foi construído por determinação do Vice Rei Luiz de Vasconcelos, que priorizou o fornecimento de água na Cidade para atender a população da região.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Mestre Valentim","1786","Rua Frei Caneca, Rio de Janeiro - RJ","",""
135,"Chafariz Paulo Fernandes","Foi construído pelo Intendente Paulo Fernandes Vianna para abastecer a população da região. Este chafariz, próximo ao do Lagarto, foi construído com um reservatório.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","desconhecido","1816","Rua Frei Caneca, Rio de Janeiro - RJ","",""
136,"Chafariz do Riachuelo","Foi construído pelo Intendente Paulo Fernandes Vianna para abastecer a população da região.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","desconhecido","1817","Rua do Riachuelo, Rio de Janeiro - RJ","",""
137,"Ladeira da Misericórdia","A Ladeira da Misericórdia foi a primeira via pública da cidade do Rio de Janeiro. No alto dela, estava situado o Largo do Castelo com o prédio do Colégio dos Padres Jesuítas da Companhia de Jesus. Após a demolição do Morro do Castelo, em 1922, restou o pequeno trecho inicial, que apesar de terminar abruptamente, ainda apresenta o seu calçamento original.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","desconhecido","1567","Ladeira da Misericórdia, Rio de Janeiro, RJ","",""
138,"Marechal Bittencourt","O homenageado foi Ministro da Guerra, durante o governo de Prudente de Morais, e comandou o Exército Brasileiro na Guerra de Canudos. Foi assassinado em 5 novembro de 1897 ao defender o presidente de um atentado.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","José Otávio Correa Lima","1898","Museu Histórico Nacional, Rio de Janeiro - RJ","",""
139,"Aviadores","Trata-se de um bloco de pedra com uma aguaia em bronze no seu topo representando os aviadores.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","desconhecido","desconhecido","Praça Salgado Filho, Rio de Janeiro - RJ","",""
140,"Paulo Sampaio","Este monumento é uma homenagem àquele que foi o pioneiro da aviação comercial no Brasil, com a empresa Panair do Brasil.","http://riomonumentos.com/cadastro/uploads/paulo-sampaio.jpg","desconhecido","29 de setembro de 2002","Praça Mal. Âncora - Rio de Janeiro - RJ","",""
141,"Atilio Correia Lima","Este monumento homenageia o arquiteto que projetou  a Estação de Hidroavião na mesma praça onde, hoje, é o Clube da Aeronáutica.","http://riomonumentos.com/cadastro/uploads/atilio-correia-lima.jpg","C. Pincy","1994","Praça Marechal Âncora, Rio de Janeiro - RJ","",""
142,"Pavilhão Nacional","Desde 1917 o espaço recebe oficialmente a denominação de Praça da Bandeira.","http://riomonumentos.com/cadastro/uploads/pavilhao-nacional.jpg","Artur","desconhecido","Praça da Bandeira, Rio de Janeiro - RJ","",""
143,"A Música","Trata-se de um dos estudos de Bernadelli para a execução da peça que iria ser instalada na fachada do Theatro Municipal, em construção na época.","http://riomonumentos.com/cadastro/uploads/a-musica.jpg","Rodolfo Bernadelli","1906","Av. Pasteur - Rio de Janeiro - RJ","",""
144,"Gradil do Espaço Guignard","A construção deste gradil foi uma inciativa da prefeitura para revitalizar a área.  A intenção do artista foi homenagear o escultor Guinard.  A construção do gradil foi dividido entre a prefeitura e a Petrobras.","http://riomonumentos.com/cadastro/uploads/gradil-do-espaco-guinard.jpg","Franz Weissmann","20 de setembro de 1996","","",""
145,"Monsenhor Mathathias Gomes","Este monumento foi uma solicitação do Rev. Guilhermino, da Igreja Presbiteriana, à Prefeitura da Cidade para homenagear o reverendo daquela congregação religiosa.","http://riomonumentos.com/cadastro/uploads/monsenhor-mathathias-gomes.jpg","Joás Pereira Passos","7 de julho de 2002","Rua Gustavo de Lacerda - Rio de Janeiro - RJ","",""
146,"Aos 450 anos dos Anglicanos","Em frente a uma grande mesa em bronze, destacam-se as figuras de Pierre Richier e Guillaume Chartier, em bronze, de pé próxima a uma taça. Na frente da grande mesa, está a inscrição “Em memória de mim”. Monumento comemorativo do culto reformado com a celebração da Santa Ceia no Brasil e nas Américas.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Joás Pereira dos Passos","21 de março de 2007","Rua Gustavo de Lacerda - Rio de Janeiro - RJ","",""
147,"João Calvino","Obra em homenagem ao fundador do Calvinismo, uma forma de protestantismo cristão, durante a Reforma Protestante.  O monumento foi uma solicitação da Igreja Presbiteriano à Prefeitura do Rio de janeiro pelas comemorações da reforma religiosa.","http://riomonumentos.com/cadastro/uploads/joao-calvino.jpg","Joás Pereira dos Passos","10 de julho de  2009","Rua Gustavo de Lacerda - Rio de Janeiro - RJ","",""
148,"Álvaro Reis","O conjunto escultórico apresenta o Rev. Álvaro Reis com duas crianças próximas. Foi um monumento idealizado pelo Rev. Guilhermino Cunha ao Prefeito da Cidade para homenagear o fundador do INPAR, uma instituição da obra social da Igreja Presbiteriana.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Joás Pereira dos Passos","30 de dezembro de 2010","Rua Visconde Duprat - Rio de Janeiro - RJ","",""
149,"Modestino Kanto","O monumento é um marco com a efígie de Modestino Kanto como uma homenagem dos colegas de magistério.","http://riomonumentos.com/cadastro/uploads/modestino-kanto.jpg","Honório Peçanha","8 de setembro de 1969","Rua Benedito Hipólito, Rio de Janeiro - RJ","",""
